,propertyCode,price,operation,size,rooms,bathrooms,latitude,longitude,priceByArea,propertyType,floorNumeric
6,31137873,995000.0,sale,150.0,3,2,38.7067135,-9.153138400000001,6633.0,flat,3.0
7,30991337,899000.0,sale,250.0,4,2,38.7282406,-9.159390400000001,3596.0,flat,4.0
8,30794063,385000.0,sale,80.0,3,1,38.7116895,-9.146017500000001,4813.0,flat,3.0
9,29973155,675000.0,sale,129.0,3,2,38.727130100000004,-9.142431,5233.0,flat,4.0
10,29568749,360000.0,sale,96.0,2,2,38.730560700000005,-9.1302612,3750.0,flat,2.0
11,31084058,364000.0,sale,110.0,3,2,38.7198217,-9.120088800000001,3309.0,flat,3.0
14,31091840,835000.0,sale,146.0,3,4,38.7261164,-9.1612759,5719.0,flat,5.0
15,30976758,580000.0,sale,135.0,3,2,38.726608500000005,-9.1555325,4296.0,flat,5.0
16,30748977,899000.0,sale,303.0,6,4,38.7431456,-9.179003,2967.0,flat,9.0
17,30233944,1100000.0,sale,188.0,4,3,38.7227072,-9.1547908,5851.0,flat,1.0
18,30432219,750000.0,sale,140.0,2,2,38.741345700000004,-9.1484095,5357.0,flat,1.0
19,30790688,400000.0,sale,73.0,1,1,38.7210214,-9.1316178,5479.0,flat,4.0
24,31097128,240000.0,sale,60.0,2,1,38.7124437,-9.1303064,4000.0,flat,1.0
25,30835203,1495000.0,sale,255.0,4,5,38.7229575,-9.152816099999999,5863.0,flat,5.0
29,30298517,250000.0,sale,70.0,2,1,38.72159979999999,-9.135245699999999,3571.0,flat,4.0
30,30425590,365000.0,sale,97.75,2,2,38.7228403,-9.1382663,3734.0,duplex,4.0
32,29693664,540000.0,sale,97.0,2,2,38.7053823,-9.1421359,5567.0,flat,4.0
33,30707864,400000.0,sale,87.0,4,1,38.7174901,-9.1321879,4598.0,flat,3.0
35,29718499,2530000.0,sale,250.0,3,3,38.7132026,-9.1313757,10120.0,flat,1.0
36,31001174,995000.0,sale,213.0,4,3,38.7322273,-9.129932499999999,4671.0,flat,2.0
37,31138404,695000.0,sale,139.0,3,2,38.725952,-9.1449286,5000.0,flat,3.0
39,29925173,309000.0,sale,48.0,2,2,38.710279799999995,-9.1515588,6438.0,flat,1.0
1,30202926,520000.0,sale,144.0,3,3,38.7558696,-9.1408457,3611.0,flat,3.0
2,29855454,550000.0,sale,123.0,4,2,38.7132766,-9.140671099999999,4472.0,flat,3.0
4,31068117,785000.0,sale,225.0,2,2,38.7431132,-9.147624800000001,3489.0,flat,1.0
5,30721731,1450000.0,sale,173.0,4,4,38.7437132,-9.1477248,8382.0,flat,10.0
7,30886202,790000.0,sale,127.0,4,3,38.720295,-9.1693386,6220.0,duplex,4.0
9,30569733,986000.0,sale,146.0,3,2,38.7117696,-9.145334599999998,6753.0,flat,2.0
11,31077564,325000.0,sale,64.0,1,1,38.7206166,-9.1397265,5078.0,flat,3.0
12,30738202,500000.0,sale,117.0,2,2,38.724726399999994,-9.1346904,4274.0,flat,3.0
13,29959900,600000.0,sale,118.0,3,2,38.74283870000001,-9.1452569,5085.0,flat,9.0
14,31140897,498000.0,sale,85.0,3,2,38.7267091,-9.142829800000001,5859.0,flat,3.0
15,30919341,650000.0,sale,140.0,3,2,38.742754,-9.1346235,4643.0,flat,2.0
16,30797318,1580000.0,sale,281.0,3,2,38.715899900000004,-9.150119199999999,5623.0,flat,0.0
21,30678002,1100000.0,sale,300.0,5,3,38.7547432,-9.150162400000001,3667.0,flat,2.0
22,30631057,339000.0,sale,61.0,2,1,38.721075,-9.136599,5557.0,flat,3.0
24,30431071,900000.0,sale,307.0,5,4,38.7189628,-9.1242028,2932.0,flat,3.0
25,30331215,695000.0,sale,140.0,4,1,38.713761,-9.14775,4964.0,flat,4.0
26,30199031,340000.0,sale,101.0,3,2,38.73505,-9.104752000000001,3366.0,flat,2.0
27,30439013,365000.0,sale,85.0,2,1,38.7210605,-9.1380477,4294.0,duplex,4.0
28,31114312,162500.0,sale,45.0,2,1,38.711239,-9.1285277,3611.0,flat,4.0
33,30986337,1200000.0,sale,200.0,8,4,38.7227338,-9.151562199999999,6000.0,flat,0.0
35,30685008,990000.0,sale,150.0,3,2,38.7083135,-9.1533384,6600.0,flat,3.0
37,30908333,2060000.0,sale,335.0,4,5,38.719514200000006,-9.1182722,6149.0,flat,1.0
38,30598354,1288000.0,sale,350.0,6,4,38.7496258,-9.1488189,3680.0,duplex,6.0
39,29272022,309000.0,sale,52.0,2,2,38.7113656,-9.153838,5942.0,flat,1.0
0,30919968,600000.0,sale,133.0,3,3,38.72118820000001,-9.1354685,4511.0,flat,3.0
2,29959939,600000.0,sale,110.0,3,2,38.74283870000001,-9.1471569,5455.0,flat,9.0
3,31113259,1950000.0,sale,190.0,4,4,38.737697999999995,-9.148480300000001,10263.0,flat,1.0
5,31092483,325000.0,sale,80.0,2,2,38.71627,-9.1603175,4063.0,flat,1.0
6,31088996,849000.0,sale,244.0,6,4,38.74862720000001,-9.1693515,3480.0,flat,5.0
7,31058342,690000.0,sale,88.0,2,2,38.7153941,-9.1557827,7841.0,flat,5.0
8,30982265,350000.0,sale,120.0,2,2,38.711057700000005,-9.1512289,2917.0,flat,3.0
11,30028049,900000.0,sale,343.0,4,3,38.743300899999994,-9.1408019,2624.0,flat,1.0
12,30480093,1975000.0,sale,360.0,6,4,38.715489,-9.161548800000002,5486.0,penthouse,6.0
14,30480625,835000.0,sale,190.0,4,2,38.73303920000001,-9.1558342,4395.0,flat,1.0
15,30403456,625000.0,sale,98.0,2,1,38.710246600000005,-9.152242999999999,6378.0,duplex,3.0
17,30818982,1250000.0,sale,293.0,7,3,38.7379027,-9.1446739,4266.0,flat,4.0
18,30487272,1090000.0,sale,300.0,4,3,38.7107032,-9.1283289,3633.0,duplex,1.0
19,30939515,364000.0,sale,83.0,3,2,38.7197217,-9.1206888,4386.0,flat,3.0
21,30285473,890000.0,sale,145.0,3,3,38.713193,-9.1634307,6138.0,flat,6.0
22,30385436,1100000.0,sale,143.0,3,2,38.73642,-9.1443651,7692.0,flat,6.0
25,29489824,655000.0,sale,90.0,3,2,38.74453870000001,-9.1480569,7278.0,flat,9.0
26,31149785,750000.0,sale,175.0,8,2,38.7426191,-9.148866,4286.0,flat,1.0
28,29846627,1150000.0,sale,237.0,4,4,38.7283413,-9.1514437,4852.0,flat,2.0
30,31187443,355000.0,sale,110.0,2,2,38.7139825,-9.135651600000001,3227.0,flat,1.0
32,30791051,1600000.0,sale,195.0,3,2,38.724294,-9.161608,8205.0,flat,5.0
33,30863311,650000.0,sale,124.0,4,2,38.7103012,-9.1618614,5242.0,flat,2.0
34,29568809,580000.0,sale,174.0,5,3,38.7243001,-9.1362748,3333.0,flat,1.0
35,31120447,1620000.0,sale,215.0,4,5,38.7346252,-9.1484041,7535.0,flat,4.0
36,30936261,1695000.0,sale,290.0,5,5,38.7130027,-9.1470699,5845.0,flat,1.0
37,31164569,349500.0,sale,79.0,2,2,38.729298299999996,-9.1433006,4424.0,flat,1.0
38,31186232,198000.0,sale,66.0,3,1,38.7232698,-9.1329609,3000.0,flat,2.0
39,31094473,385000.0,sale,100.0,2,2,38.746404600000005,-9.1433943,3850.0,flat,1.0
0,31061000,299000.0,sale,89.0,2,1,38.7121153,-9.165358099999999,3360.0,flat,3.0
1,30986714,365000.0,sale,85.0,2,2,38.722074299999996,-9.1405867,4294.0,duplex,4.0
3,30769214,399000.0,sale,121.0,3,2,38.742212200000004,-9.128254,3298.0,flat,5.0
5,30925856,479900.0,sale,102.0,3,0,38.7304782,-9.1308531,4705.0,flat,5.0
6,30827992,423000.0,sale,125.0,3,2,38.7102473,-9.150953300000001,3384.0,flat,3.0
7,31130328,650000.0,sale,105.0,2,2,38.732339,-9.151100999999999,6190.0,flat,2.0
8,29463994,1375000.0,sale,200.0,4,2,38.7218951,-9.1614235,6875.0,flat,4.0
9,30984964,345000.0,sale,90.0,2,1,38.757186100000006,-9.166452900000001,3833.0,flat,2.0
10,30920002,520000.0,sale,130.0,3,2,38.7244882,-9.1337685,4000.0,flat,2.0
11,30528079,249500.0,sale,55.0,2,1,38.715794200000005,-9.132709599999998,4536.0,flat,1.0
12,31187169,1280000.0,sale,260.0,5,4,38.738615100000004,-9.1324954,4923.0,flat,4.0
13,31186873,290000.0,sale,85.0,2,1,38.7369528,-9.1218565,3412.0,flat,1.0
